Id,Text,Nutrients,Foods,Enhance,Inhibit,Label
20200263.pdf," The inhibiting effect of polyphenols on ironabsorption has been shown with black tea and herb teas At comparable amounts, the polyphenols from black tea wereshown to be more inhibiting than the polyphenols from herb teasand wine  The fact that polyphenol quantity, as well astype, inuences iron absorption was also shown in a study withspices Chili, but not turmeric, inhibited iron absorption in Thaiwomen, although turmeric contained more polyphenols than chili In cereals and legumes, polyphenols add to the inhibitoryeffect of phytate, as was shown in a study that compared high andlow polyphenol sorghum",iron,chilli,,inhibit,1
20200263.pdf," After complete phytate degradation,iron absorption from low-polyphenol sorghum increased sig-nicantly, whereas iron absorption from high-polyphenol sor-ghum was notimproved  Further studies should beconducted to investigate the inuence of polyphenols in widelyconsumed legumes and cereals, such as common beans  and milletCalciumCalcium has been shown to have negative effects on nonhemeand heme iron absorption, which makes it different from otherinhibitors that affect nonheme iron absorption only Initially, the inhibitory effect was suggested as occurring duringthe transport of iron across the basolateral membrane from theenterocyte to the plasma because absorption of both forms of ironis equally inhibited, but more recently, it was suggested that theinhibition takes place during the initial uptake into the enter-ocytes  Dose-dependant inhibitory effects were shown atdoses of 75300 mg when calcium was added to bread rolls and atdoses of 165 mg calcium from milk products ",,"sorghum, milk, beans",,inhibit,0
20200263.pdf," In a recentstudy the addition of 200 mg calcium to a maize-based test mealhad no signicant effect on iron absorption from NaFeEDTA It is proposed that single-meal studies show a negative effectof calcium on iron absorption, whereas multiple-meal studies,with a wide variety of foods and various concentrations of otherinhibitors and enhancers, indicate that calcium has only a limitedeffect on iron absorption ProteinsWhereas animal tissues have an enhancing effect on nonhemeiron absorption, animal proteins, such as milk proteins, eggproteins, and albumin, have been shown to inhibit iron absorption The 2 major bovine milk protein fractions, casein and whey,and egg white were shown to inhibit iron absorption in humans Proteins from soybean also decrease iron absorption",protein,"milk, egg, maize",enhance,inhibit,1
20404931.pdf,"A high-quality diet for insects permits the storage of differentcompounds  in the fat body,the most important organ for nutrient metabolism and storage ininsects [1] In fact, the fat body plays a crucial role not only in lipidstorage and transportto the hemolymph, but also in lipidbiosynthesis from carbohydrates, the biosynthesis of proteins suchas antifreeze proteins  [2], and yolk deposition in oocytes orvitellogenesis [3] Moreover, the fat body is the major organ forstoring glycogen, the precursor of many cryoprotectants  [4], [5], [6] As a measure of cold thermal tolerance,the supercooling point the cold acclimation andresistance In cold conditions, freeze-avoiding insects may adoptone or both of these main mechanisms to decrease the SCP:  theproduction of AFPs that inhibit the growth of ice, modify thethermal hysteresis  and stabilize supercooledhemolymph and other fluids [7], [8], [9], [10], and  the adjustconcentration of multi-component cryoprotectant compounds thatdepress the SCP [11]",fat,yolk,,inhibit,0
20430785.pdf,"Traditional agronomic countermeasures can be employed toaddress these problems and plant breeders are developingcrop genotypes that tolerate these adverse abiotic environ-ments better, through either conventional breeding or trans-genic strategiesthe root apex thatCrop production on acid soils is primarily limited by Al tox-icity  The presence ofexcessive Alin the rhizosphere inhibits root elongation Resistance is gener-ally conferred by the release of organic acids, such asformmalate, citrate and oxalate, atAl-complexes and reduce the phytoavailability of toxic Alspecies in the root elongation zone  Insome plant species, such as wheat and maize, the release oforganic acids is constitutive, whereas in other plant species,such as soybean, sorghum and rye, it is induced by exposureto Al ",,"sorghum, maize, wheat",,inhibit,0
20485503.pdf," However, creatinesupplementation has recently been recognized as a potentialintervention to various neurodegenerative disorderstargetingbioenergetic failure observed in these conditions [44,45] Forexample, creatine has been found to be usefulin bufferingintracellular energy stores and reducing the cellular energy deficitfunction and to be effective inby improving mitochondrialattenuating the age-related decline in mitochondrial function [44]Creatine has also been shown to inhibit mitochondrial perme-ability transition and enhance mitochondrial function in stimulat-ing mitochondrial energy production via creatine-stimulatedrespiration and the adenine nucleotide translocase [35,46]Moreover, ginseng is a potent antioxidant and has beenextensively used to reduce oxidative damage and prevent age-related diseases [4749] Ginsenosides, the major active ingredi-ents of ginseng, are steroidal saponins with different sugar moietiesNutraceutical and Performance[50]",energy,sugar,enhance,inhibit,0
20509990.pdf," Inroots, up to 8-fold variation in Ca and 46-fold variation inMg occurred among 600 cassava genotypes , a signicant variation also reported for carrot  There are fewer publisheddata for fruit, although > 2-fold variation in fruit Ca con-centrations has been reported among plantain  and plum  varieties To date,increasingthe only published transgenic strategy for[Ca]shoot, [Mg]shoot or [K]shoot in crops followed the dis-covery that Arabidopsis thaliana plants overexpressinggenes encoding vacuolar Ca2 + /H + antiporters had [Ca]shootgreater than those of wild-type plants Subsequently,increased [Ca]shoot, and potentially dietary Ca delivery, hasbeen shown to be possible through the expression of genesencoding AtCAX1 lacking its autoinhibitory domain, a modied AtCAX2 , or AtCAX4, in theedible portions of carrot, lettuce, potato andtomato",,"carrot, potato, lettuce",,inhibit,0
20535389.pdf," Horsemeat  and  bone  meal  are  a  good  source  of  some  minerals  and  vitaminsKey  Words:  Horsemeat,  beef,  pork,  bone,  fatty  acid,  mineralIntroduction*Horses  have  long  been  domesticated  as  an  animal  for  draft, ride  and  a  food  source,  and  are  still  very  important  in  many countries  In  some  countries  including  Japan  and  Korea,  horse-meat  is  considered  a  delicacy  Horse  bones  have  also  been  used as  a  traditional  medicine  for  bone  diseases  including  bone fracture  and  arthritis  in  Korea  In  recent  years,  horsemeat consumption  has  steadily  increased  with  increasing  number  of horses  being  raised  on  Jeju  island",,"beef, meat, pork",raise,,0
20535389.pdf,"  Many health-conscious  consumers  avoid  red  meat  because  it  contains high  levels  of  saturated  fatty  acids  and  cholesterol  Red  meat market  has  lost  its  share  to  poultry  and  fish  as  well  as  to vegeterianism  Animal  industry  and  animal  scientists  have  been working  to  develop  animal  products  that  are  leaner  through selection  and  breeding,  and  feeding  regime  and  diet  modification including  using  feed  additives  such  as  nutrient  partitioning agentsTraditionally,  horsemeat  has  been  known  to  be  leaner  but tougher  than  beef  However,  recently  horsemeat  consumption  has steadily  increased  with  increasing  number  of  horses  being  raised on  Jeju  island",,"beef, fish, meat",raise,,0
20549125.pdf," Sixty-one women were  interviewed:  31  non-pregnant  and  30  pregnant determinant  of  iron  deficiency  and  also  that  enriching womenthe  foods  that  compose  the  diet  of  Brazilian  families contributes  to  diminishing  the  risk  of  iron  deficiency, the  Brazilian  Ministry  of  Health  proposed  the  Wheat and  Corn  Flour  Fortification  with  Iron  and  Folic  Acid  in 2002 Effectively implemented in Brazil in June 2004, the program requires manufacturers to add a minimum of 42mg of iron and 150mcg of folic acid for each 100g of wheat or corn flour producedThe  actions  to  prevent  anemia  during  pregnancy include  not  only  food  fortification  but  also  educating women,  so  they  increase  their  consumption  of  iron natural  sources  and  foods  that  favor  the  absorption  of this mineral, as well as limit their consumption of foods that  inhibit  iron  absorption",,"flour, corn, wheat",,inhibit,0
20549125.pdf," Enfermagem 2010 Mar-Apr; 18: 247-54 frequently consumed by 70% of the women, that is, at Around  80%  of  the  women  had  dinner  and  its least once a week There was no report of consumption composition was similar to that of lunch The distribution of corn-based foods of food by meals between the groups was very similar, Citric fruits, which improve the absorption of iron, though,  the  pregnant  women  presented  a  significantly were  not  consumed  daily  by  all  women,  though  coffee higher  consumption of fruits/natural juices at and  milk,  potential  inhibitors  of  iron  absorption,  were lunch and afternoon snack, and milk and dairy products ingested  at  least  once  a  day  by  the  majority  of  the at breakfast ",,"corn, milk",,inhibit,0
20560601.pdf," The reason for suchdifferentiation of grains on the bioavailability of these two mine-rals needs to be elucidated further The present study also suggeststhat malting of barley may form a good strategy to provide higheramounts of bioaccessible minerals, except zincThe beneficial effect of malting on iron and calcium bioacces-sibility, which was evident in finger millet and wheat, may pro-bably be attributed to the decrease in phytate content as a result ofmalting The phytate content was highest in finger millet , followed by wheat  and barley  Barley, the intrinsic phytate content of which wasrelatively lower, did not find similar advantage of enhancedbioaccessibility of these minerals as a result of malting",,"barley, wheat",,inhibit,1
20560601.pdf," A20% increase in iron bioaccessibility from finger millet was seen atthe end of 48 h of germination  Heat processing of finger millethas been earlier evidenced to enhance the bioaccessibility of ironby 104 and 85% in pressure-cooked and microwave-heated fingermillet, respectively Pressure-cooking and microwave-heatingbrought about 39 and 115% increases, respectively, in the bio-accessibility of iron from wheat ",,"wheat, millet",,inhibit,1
20560601.pdf,"Germination and heat treatment  of fingermillet have been earlier evidenced to independently decrease thebioaccessibility of zinc, the percent decreases being 38 and 63,respectively  The present observation of decreased bioac-cessibility of zinc in malted finger millet is consistent with thisearlier observationIt has been reported that during germination, de novo synthesisand activation of endogenous phytases with concomitant de-crease in phytate content occurs in cereals and legumes  Inthe case of finger millet, phytate content was not affected bygermination; however, the tannin, which is a known inhibitor ofmineral bioavailability, was significantly  decreased as aresult of germination Roasting and malting of wheat, barley, and green gram in thepreparation of weaning foods was found to increase the bioavail-ability of iron by 16-32%",,"gram, barley, wheat, millet",,inhibit,0
20623225.pdf," The stabilityof SR13668 in plasma and to liver metabolic enzymes wasinvestigated, as well as ways to increase the absorption ofthe drug These investigations resulted in the developmentof a formulation that markedly enhances oral absorption ofSR13668 in rats The pharmacokinetics and disposition of asingle dose of SR13668 in male and female rats were deter-mined in the subsequent studyMaterials and methodsChemicalsSR13668  was synthesized at SRI International [1]The following vehicles were obtained from SigmaAldrich:  methylcellulose,  PEG400,  Tween  20,hydroxypropylmethylcellulose,  glycerol,  corn  oil,  cremo-phore EL, Span 85, soybean oil, sesame oil",,"corn, oil, sesame",enhance,,0
20628880.pdf," AM colonization was found to enhance the activities- reductase  and glutamine synthetase  inof NO3the leaves of Ziziphus mauritiana ,potato plants  and Zea mays, etc The efcacy to increase thetwo enzymatic activities varied with AM species- assimilation pathway,including NO3123ItThe amount of NO2 incorporating into leaves is regu-lated by plant nitrogen-supply status, which the regulatorymechanisms involve in stomatal dynamics , leaf apoplastic pH  and key enzymes of the NO3is known that AM colonization signicantlyetcenhances the root uptake and transport of inorganic N-?  and also as NO3mainly as NH4 This isbecause AM fungi need the energy consumption to transfer?- signicantly higher than that of NH4and assimilate NO3",energy,potato,enhance,,0
20843402.pdf,"In addition, the HCDE was devised to optimize the intakeof whole-grain products, vegetables and fruit, low-fat milk,beans, sh, meat and eggs The students were asked todiscuss the information gained from the HCDE with theirmother or guardian A liaison notebook was used forcommunication among the student, her guardian  and the dietitian with regard to the education Thestudent, guardian and dietitian could all make notes in thisnotebook The student described what was learned at thegroup counselling session and what she put into practice athome, the parent or guardian entered his/her impressionsand the dietitian commented on the issues raised",fat,"meat, milk, beans",raise,,0
21240540.pdf,"Not only did foliar application of iron enhance riceyield  and juice quality in sugarcane  but also it reduced zinctoxicity in tomato plants  Foreconomic reasons, ferrous salts are commonly used infoliar applications; however,iron citrate and ironethylenediaminetetraacetic acid  are alsoeffective Cytokinin and iron deciency chlorosisSeveral studies addressing correction of iron chloro-sis in plants by foliar sprays have focused on some ofthe mechanisms involved Pretreatment of chloroticplants with the auxin transport inhibitor triiodoben-zoic acid  was reported to enhance transloca-tion of iron in tomato plants and apple seedlings; however, TIBA wasnot an effective pretreatment for iron translocation inlemon trees  or beanplants  The transport ofradioiron from the primary leaf to trifoliate leaves of123bean plants was enhanced by pretreatment withkinetin and gibberellic acid as reported by Kannanand Mathew , butthese experiments aredifcult to interpret because cytokinin may be storedin roots  and transportedto the shoot by the xylem ",,"sugarcane, tomato",,inhibit,1
21279464.pdf," The maximum changes in the inorganic content weredetermined at 109 M for plants treated with progesterone and 106 M for plants treatedwith -estradiol and androsterone  Dogra and Thukral [79] investigated theeffects of MSH on changes in inorganic element contents of wheat and maize by usingmicro-Kjeldalh method, and determined that MSH significantly increased the N, P, Fe, Na,and K contents Similarly, Erdal et al [2] studied effects of MSH on inorganic elementconcentrations in germinating chickpea seeds Although MSH treatment significantlyenhanced S, K, Cl, Mg and P concentrations, it decreased Ca and Na concentrations",,"maize, wheat, seeds",enhance,,0
21370931.pdf,"27Recently, 2-DE proteomic proling has been used to study Fe-deciency responses in plants in dierent scenarios Changes inthe protein prole of thylakoids from several species have beeninvestigated,2830 as have root proteome changes in tomato31,32 and sugar beet 33Regarding avin synthesis, tomato does not accumulate or exportavin compounds when Fe-decient, whereas sugar beet accu-mulates avins in swollen yellow root tips and exports avincompounds at low pH; however, this latter species has littlemolecular and genetic resources available for more detailedinvestigations Medicago truncatula has emerged as a modellegume with a number of genetic and molecular tools avai-lable34,35 A better understanding of the mechanisms involvedin root Fe homeostasis in this model species may strengthen ourability to enhance Fe-eciency responses in other plant species,especially legumes of agronomic interest",protein,"tomato, beetroot",enhance,,1
21370931.pdf," In line with thishypothesis, the increases in LPD are accompanied by decreasesin SHMT, resulting in a net positive balance of CO2 that could inturn feed PEPC There is molecular support to consider theglycine-serine interconversion caused by LPD and SHMT as amajor C source in nonphotosynthetic tissues, especially when theneeds of C for secondary metabolism are high43 Changes inprotein catabolism were also observed in both Fe-deciencytreatments In the 0 M Fe treatment, increases in proteases anda decrease in the structural unit of the 20S proteasome wereobserved, whereas in the 0 M Fe plus CaCO3 treatment therewas also a reorganization of the 20S proteasome subunits, anincrease in peptidases and decreases in protease inhibitors Thesedata are in agreement with a recent proteomic study with Fe-decient cucumber roots,36 whereas other proteomic studies insugar beet and tomato did not nd increases in proteolysis",,"cucumber, tomato",,inhibit,0
21370931.pdf," A major change in both treatments was an increasein glutathione transferase, which conjugates glutathione tocytotoxic products A reorganization of the SODs was alsoobserved, most likely to compensate for FeSOD decreasesThe increase in MDAR in the 0 M Fe plus CaCO3 treatmentcould compensate for the decrease in APX, an Fe-containingprotein An enhancement of the glycolytic pathway and TCAcycle agree with previous studies12,16 As also occurs in Fe-decient tomato roots,32 a decrease in fructokinase was found,suggesting that glucose is preferred over fructose as initialsubstrate in the glycolytic pathway, possibly related to the useof starch as an energy source instead of sucrose",energy,tomato,enhance,,0
21479761.pdf," The enhanced CA activity might behelped in the reversible hydration of CO2 and maintainedits constant supply to rubisco, which may be one of thereasons behind the improved net photosynthetic rate in Nand S-fed plants grown under salt stress This observationstrengthens the finding of Siddiqui et al , theyreported that exogenous application of N and S enhancedthe CA activity in mustard Thus, on the basis of the rolesplayed by these nutrients, we could easily understand theirdirect and indirect involvement in these structures This, inturn, could be responsible for the restoration of the alteredplant height lead the plants with better orientation of leavesfor harvesting the solar energy as well as facilitating leafexpansion leading to larger LA",energy,mustard,enhance,,0
21479761.pdf,"Conflict of interest The authors declare that they have no conflict ofinterestReferencesAebi H  Catalase in vitro Methods Enzymol 105:121126Agarwal S, Pandey V  Antioxidant enzyme responses to NaClstress in Cassia angustifolia Biol Plant 48:555560Ahmad A, Abraham G, Abdin MZ  Physiological investigation ofthe impact of nitrogen and sulphur application on seed and oil yieldof rapeseed  and mustard  genotypes J Agron Crop Sci 183:1925Alia, Saradhi PP, Mohanty P  Proline in relation to free radicalproduction in seedlings of Brassica juncea raised under sodiumchloride stress",,"oil, mustard",raise,,0
21533132.pdf," In contrast,sorbitol, a sugar alcohol that is not well metabolized by Drosophila[45], had no impact on METH toxicity These results suggest thatMETH-toxicity is interrelated with carbohydrate metabolism,corroborating previous findings where it has also been observedthatsupplementation with cofactors of energy metabolismattenuates the toxicity of METH [8,46] Interestingly, humanMETH addicts often imbibe large amounts of sugary soft drinks[47]; such dietary studies in Drosophila lead us to question whethersugar intake in humans helps to alleviate the toxic effects ofMETHOxidative stressWe observed multiple genes and proteins associated with anoxidative stress in METH-treated Drosophila; METH also inducesoxidative stress in mammals [6] Oxidative stress has been linkedto many pathways,including alcohol dehydrogenase activity [48], actin reorganization [49], and the inhibition ofhexokinase activity in rabbit erythrocytes [50]","carbohydrate, energy","rabbit, sugar",,inhibit,0
21547374.pdf," For example, saponins of Sapin-dus rarak fruits reduced methanogen RNA con-centration at the highest saponins concentration, while lower levels had no effect onmethanogens numbers  Goelet al  noted that CH4 inhibition effect ofsaponins from Sesbania sesban and fenugreek waspronounced in concentrate-based diets comparedwith roughage-based diets Total archaeal popu-lation was reduced by saponins extracted fromS sesban leaves , fenugreek seeds ,and Knautia leaves ",,"fenugreek, seeds",,inhibit,0
21547374.pdf," In an experimentwith sheep fed on wheat straw and concentrate, inclusion of Allium sativum at 10 g kg1of DM intake also reduced CH4 production perunit of OM digested and increased digestibility offiber A limited number of studies are availableshowing direct effect of EO on rumen archaeaIn a culture-based study, EO did not inhibitMethanobrevibacter smithii up to a concentra-tion of 016 ml L1 although inhibition occurredat 10 ml L1 ",,"sheep, wheat",,inhibit,0
21914250.pdf," The results ofexpression of small-intestinal L-FABP and CRBPII genesin postnatal developmentis regulated by a change inexpression of PPAR-a which transmits the signalling offatty acids derived from milk For the young animal,this suggests that fatty acids in milk may help to ensurethe effective absorption of dietary fat and vitamin Astudy indicate thatImmune functionSeveral studies have been per-formed investigating the effects of dietary lipids on intesti-nal gene expression with regard to immunologicalparameters, mostly directed to intestinalinammationAccording to a study with rats, MCT enhancedsecretory IgA  expression in the ileum comparedwith rats given maize oil",fat,"groundnut, rice",enhance,,0
21985689.pdf,"01 is given in Table 2 and the lists are provided inAdditional file 2 While a similar number of genes wereup- and downregulated by pollen nutrition in healthybees, varroa-parasitism had a major inhibitory effect ongene expression This inhibition at the transcriptionlevel might explain the loss of weight and the decreasedmetabolism induced by varroa in emerging bees [20]To assess the reliability of our DGE-tag profiling, wechecked whether the regulation of some candidatesgenes was consistent with the pattern of expression pre-viously reported in earlier studies and performedreverse-transcriptase PCR  on those genesVitellogenin  is a yolk protein taken up by develop-ing oocytes and associated to egg production in queens[33,34] but also has antioxidant functions that protectbees from oxidative stress and enhance longevity[35,36]",protein,"milk, oil, maize",enhance,inhibit,0
22070764.pdf,"22 found that, except forvitamin C, storage and packaging did not aect antioxidantcompounds of tomato juices;  Durazzo et al23 reported thatthere were no dierences in biological eects in cell assaysbetween organic and conventional tomatoes and that bioactivecompounds could have a pro-oxidant eect at concentrations>17 M; and  Vallverdu-Queralt et al24 found that processingof tomatoes results in decreases in both antioxidant and phenolicprolesCancer Prevention In previous studies we reported that the tomato glycoalkaloid -tomatine and the potato glycoalk-aloids -chaconine and -solanine were strong inhibitors ofhuman cancer cells;25,26  the inhibition of cancer cells by high-tomatine green tomato extracts was much higher than that byred tomato extracts lacking -tomatine;3,27 and  long-termfeeding of low amounts of -tomatine protected fish against dibenzo[a,l]pyrene-induced colon cancer",,"egg, yolk",,inhibit,0
22134555.pdf," In 1999, the AACCIissued a formal denition of WGs:18 whole grains shall consistof the intact, ground, cracked, or aked caryopsis , whose principal anatomical componentsthe starchyendosperm, germ, and branare present in the same relativeproportion as they exist in the intact caryopsis However, in2006, the AACCI WGs Task Force broadened the denition ofWGs to include pseudocereals19  Pseudocereals wereincluded because they have an overall macronutrient composi-tion similar to that of cereals and because they are used in thesame traditional ways as cereals Also, some traditionally andminimally processed forms of WGssuch as lightly pearledbarley or wheat, bulghur, and mixtamalized cornare consid-ered WGs19 The AACCI is moving towards setting a new de-nition of WGs that may acknowledge the use of minimalprocessing to enable good manufacturing practices and enhancefood safety of WGs",,"fish, potato, tomato",enhance,,0
22136984.pdf," Reduced plasma NEFA availability mayexplain part, but not all, of the decrease Fatty acid transportacross muscle and mitochondrial membranes is thought to bean important rate-limiting step These restrictive processes arediscussed in greater detail later in the context of the nutritionalmanipulation involvedThe rate of fatty acid ux may modulate the improvementsin insulin sensitivity and glucose tolerance seen with an exer-cise training programme Thus, enhanced fat oxidationcould be seen as a goal for both athletes and the generalpopulation for enhancing adaptation to exercise which canpotentially improve performance for the former, and healthfor the latter",fat,"wheat, bulghur",enhance,,0
22136984.pdf," Supplementationwith sh oil-derived n-3 fatty acids has been shown tolipaemia The increase in skeletalreduce postprandialmuscle lipoprotein lipase activityis probably the majormechanism behind this Moreover, rodent models have alsodemonstrated a protective effect of sh oil on high-fat-diet-induced obesity, despite no differences in energy intakeTaken together, these ndings indicate that lipid utilisation isincreased In addition, some have proposed that n-3-inducedinsulin sensitivity would enhance glycogen storage, thus shift-ing the oxidation of carbohydrate onto lipids","energy, carbohydrate, fat",bean,enhance,,0
22292054.pdf," Decreases inadipose tissue mass may involve the loss of lipids through lipolysisand the loss of mature fat cells through apoptosis [13]from insulin stimulated AkttuberousThe clinicalreceived considerableimportance of herbal drugs and vitamins fortreatment of obesity hasattention[14,15,16] These therapies have been variably efficacious onsignaling pathways at early, middle, and late stages of adipocytedifferentiation, and together with several other non-invasivedietary treatment regimens are desirable for this chronic diseaseA number of herbal  and dietary inhibitors of adiposedifferentiation have been identified, including isorhamnetin [17],-epigallocatechin-3-gallate  [18], silibinin [19], retinoicacid [20], and 1,252D3 [21]Fruits such as papaya and pineapple  are alsoactive constituents of an anti-obesity diet",fat,oil,,inhibit,0
22402883.pdf," Pfaffl MW  A new mathematical model for relative quanti-fication in real-time RT-PCR Nucleic Acids Res 29:e4525 Idowu OMO, Ajuwon RO, Oso AO et al  Effect of zincsupplementation on laying performance, serum chemistry and Znresidue in tibia bone, liver, excreta and egg shell of laying hens IntJ Poult Sci 10:22523026 Hernroth B, Baden SP, Holm K et al  Manganese inducedimmune suppression of the lobster, Nephrops norvegicus",,"pineapple, papaya",,suppress,0
22575487.pdf,"Results: Mean age was 22?6  years, mean BMI was 20?4  kg/m2 and236  of the pregnant women were primiparous The prevalence ofanaemia  was 30?3 % and of microcytic anaemia  20?2 % Mean dietary intakes of energy, Ca, Feand folate were well below the Indian RDA In multivariable log-binomialregression analysis, anaemia was independently associated with high dietaryintakes of Ca  and P  andhigh intake of meat, sh and poultry Conclusions: Low dietary intake of multiple micronutrients, but higher intakes ofnutrients that inhibit Fe absorption such as Ca and P, may help explain high ratesof maternal anaemia in India",energy,"egg, lobster",,inhibit,0
22606263.pdf," In doing so, we provide the firstinformation on the gut microbiome of an Australian sea lion Weexamine a marine mammal specifically, in light of recent researchhighlighting the role of marine mammal faeces in the nutrientthe ocean [6] We consider whether bacteria mightcycle ofenhance the persistence of Australian sea lion faecal nutrients inthe photic zone by solubilising nutrients from the faecal particlesbefore the faecal particles can sink to the deep oceanMethodsSample CollectionAustralian sea lions  number approximately 11 000with the major population occurring in South Australia [7]Australian sea lions predominantly consume squid and fish preyand dive to average depths of roughly 4080 m while foraging [8]",,meat,enhance,,0
22606263.pdf,"org7May 2012 | Volume 7 |Issue 5 | e36478microbes Therefore, the bacteria in Australian sea lion faeces maylimit nutrient sinkage to depth and enhance the persistence ofnutrients in the photic zone where they are available to supportprimary production by phytoplankton [24]ConclusionThis metagenomic analysis reveals the genetic content andmetabolic potential of an Australian sea lion gut microbiome Thephylogeny ofthe Australian sea lion gut microbiome ischaracterised by a high Firmicutes to Bacteriodetes ratio, whichindicates a predisposition towards excess body fatin othermammals The metabolic potential of the Australian sea lion gutmicrobiome was more similar to human gut microbiomes thancow gut, chicken cecum, fish guts, seawater samples or whale fallmicrobiomes",,"squid, fish",enhance,,0
22930344.pdf," Conversely,terpenes containing polar groups such as menthol and1,8-cineole provide better enhancement for hydrophilicdrugs  Therefore, terpenes are having potential forenhancing percutaneous absorption of therapeutic proteinsfrom transdermal delivery systems which cannot be deliv-ered orally due to its unique pharmacokinetic character-istics and stability issues  However, there is a dearthof data on effect of terpene on the stability and biologicalactivity of proteins which must be protected to make adelivery system efficient and successful Therefore, thisproject investigated the effects of terpene-based skin penetra-tion enhancers, known to be nontoxic to skin , on the conformationalstability and biological activity of a model protein lysozyme sothat we can have an understanding of the structural character-istics of terpenes optimal for use in a transdermal formulation ofproteinMATERIALS AND METHODSMaterialsLysozyme  from chicken egg white and Mi-crococcus lysodeikticus  were purchasedfrom Sigma Chemical Company, St",protein,"fish, chicken",enhance,,0
23071218.pdf," In light of the fact that mycorrhizaare known to be actively involved in P acquisition in cereals,the results of de Oliveira et al  lends support to thehypothesis for plant genotype-driven selection of functionalmicrobial communities In work comparing Zn-efcient and-inefcient wheat genotypes, Rengel  found that Zndeciency increased the numbers of uorescent pseudomonadsin the rhizosphere of all wheat genotypes tested, buttheeffect was particularly obvious for genotypes tolerant ofZn deciency These reports imply a signicant relationshipbetween nutrient-efcient genotypes, root exudation and mi-crobial community selection, butraise a question as towhether the observed microbial communities actively contrib-ute to plant nutrient acquisition, or are only passively arising inresponse to other, direct tolerance mechanisms affected bythose efcient genotypes The lack of studies in rice that con-trast different genotypes is one area of research that needsattention",,"egg, chicken",raise,,0
23090587.pdf," Sampleswere crushed with Multi-Beads Shocker, and the powder of samples wasdefatted with acetone Then, proteins were extracted from the defatted sam-ples sequentially with solutions A  and B The extracted proteins were separated by SDS-PAGE and transferred toImmun-Blot polyvinylidene diuoride membranes  Each lane con-tained the proteins extracted from an identical weight of defatted samples TheC-terminal half of the OsIPK1 protein  produced in Esche-richia coli was used to raise antibodies in a rabbit",protein,"wheat, rice",raise,,0
23108529.pdf," In:Gianinazzi S, Schepp H  Impact of arbuscular mycorrhizason sustainable agriculture and natural ecosystems Birkhuser,Basel, pp 133146Kohler J, Hernndez JA, Caravaca F, Roldn A  Plant-growth-promoting rhizobacteria and arbuscular mycorrhizal fungi modifyalleviation biochemical mechanisms in water-stressed plantsFunct Plant Biol 35:141151Li Q, Kubota C  Effects of supplemental light quality on growthand phytochemicals of baby leaf lettuce Environ Exp Bot 67:5964Lira FS, Rosa JC, Cunha CA, Ribeiro EB, Oller do Nascimento C,Oyama LM, Mota JF  Supplementing alpha-tocopherol and vitamin D3 in high fat diet decrease IL-6 produc-tion in murine epididymal adipose tissue and 3 T3-L1 adipocytesfollowing LPS stimulation Lipids Health Dis 10:37Lizarazo K, Fernndez-Marn B, Becerril JM, Garca-Plazaola JI Ageing and irradiance enhance vitamin E content in greenedible tissues from crop plants",fat,rabbit,enhance,,0
23135603.pdf,"The expression of a wide range of genes involved inregulation were altered due to both herbivory and the pres-ence of the peroxidase transgene Regulatory-related genesthat were stimulated in the high peroxidase leaves andherbivory included von Hippel-Landau binding protein  and ZF-HD homeobox protein, and TSI-1 pro-tein, while Pr 117 was down-regulated  However,a putative DNA cytosine methyltransferase was up-regulated by herbivory in only the wild-type plants, suggest-ing that the transgenic peroxidase levels may inhibit theinduction by the caterpillar feedingSeveral genes associated with reproduction were up-regulated in the caterpillar-damaged leaves, especially aputative PGPD14 protein  There was a wide as-sortment of genes involved in plant development and cellgrowth that had altered expression primarily due to1256J Chem Ecol  38:12471263Table 4 Metabolism/energy, cell membrane/cell wall, gene regulation/transcription/translation, and reproduction-related genes with significantlyaltered gene expression in tomato, Solanum lycopersicumGene IDDescriptionTreatmentsMetabolism/EnergyGene IDSGN-U143968SGN-U143816SGN-U144026SGN-U145334SGN-U145334SGN-U145894SGN-U143983Gene nameCytochrome c, putative [Arabidopsis thaliana]Phosphoglycerate kinase, cytosolicPutative short-chain type alcohol dehydrogenase[Solanum tuberosum]Serine acetyltransferase 4 [Nicotiana tabacum]Serine acetyltransferase 4 [Nicotiana tabacum]Sugar transporter, putative [Arabidopsis thaliana]Xyloglucan endo-1,4-beta-D-glucanase  precursor  - tomatoNW-NT11","energy, protein",lettuce,,inhibit,0
23135603.pdf," Thesame trend was noted for cold acclimation protein WCOR413The protease inhibitor/seed storage/lipid transfer ,calcineurin B-like protein, and long-chain-fatty acid-CaO li-gase were significantly up-regulated in the high peroxidasecompared to wild-type leaves, but relatively unaffected ineither type of the caterpillar damaged leaves This resultsuggests that peroxidase, or its products, are capable of alter-ing regulation of defensive genes  whether directly or indi-rectly through the influence of other signaling genes, and thatsome signals can be overridden by otherswere similar when H zea fed on leaves of either wild-type ortransgenic tomato, up-regulation was generally lower in thehigh peroxidase leaves",protein,tomato,,inhibit,0
